date,unemployment_change,vacancies_growth,gdp_growth,cpih_inflation,interest_change
2021-09-01,-9.999999999999964,2.2727272727272707,0.0,3.3333333333333437,0.0
2021-10-01,-9.999999999999964,1.1111111111111072,1.4418125643666402,29.032258064516125,0.0
2021-11-01,-20.000000000000018,1.098901098901095,0.0,19.999999999999996,0.0
2021-12-01,-10.000000000000053,2.1739130434782705,0.0,0.0,0.15
2022-01-01,0.0,2.127659574468077,0.9137055837563413,2.083333333333348,0.0
2022-02-01,-19.99999999999997,2.083333333333326,0.0,12.244897959183664,0.25
2022-03-01,-10.000000000000009,2.0408163265306145,0.0,12.72727272727272,0.25
2022-04-01,-9.999999999999964,1.0000000000000009,0.9054325955734299,25.806451612903224,0.0
2022-05-01,9.999999999999964,0.990099009900991,0.0,1.2820512820512997,0.25
2022-06-01,0.0,0.9803921568627416,0.0,3.7974683544303556,0.25
