date,gdp_growth,vacancies_growth_base,cpih_inflation_base,unemp_change_pred_base,vacancies_growth_policy,cpih_inflation_policy,unemp_change_pred_policy
2017-11-01,0.0,1.2181616832779518,3.3333333333333437,-1.3211141853383723,1.2181616832779518,3.3333333333333437,-1.3211141853383723
2017-12-01,0.0,1.7505470459518557,-3.2258064516129115,-1.4993362321677581,1.7505470459518557,-3.2258064516129115,-1.4993362321677581
2018-01-01,0.7376185458377149,1.0752688172043001,0.0,-2.478300377369566,1.0752688172043001,0.0,-2.478300377369566
2018-02-01,0.0,0.9574468085106425,-9.999999999999998,0.16662983409090712,0.9574468085106425,-9.999999999999998,0.16662983409090712
2018-03-01,0.0,0.94836670179137,-7.407407407407418,-0.04030831789155817,0.94836670179137,-7.407407407407418,-0.04030831789155817
2018-04-01,0.6276150627615218,0.8350730688935215,-4.0000000000000036,-1.564823159869049,0.8350730688935215,-4.0000000000000036,-1.564823159869049
2018-05-01,0.0,0.8281573498964745,0.0,-0.501699349012622,0.8281573498964745,0.0,-0.501699349012622
2018-06-01,0.0,0.7186858316221789,0.0,-0.35089170065872055,0.7186858316221789,0.0,-0.35089170065872055
2018-07-01,0.5197505197505281,0.7135575942915473,4.166666666666674,-1.849416991854854,0.7135575942915473,4.166666666666674,-1.849416991854854
2018-08-01,0.0,0.6072874493927127,-4.0000000000000036,0.14114557753319362,0.6072874493927127,-4.0000000000000036,0.14114557753319362
2018-09-01,0.0,0.5030181086519203,-8.333333333333325,0.6515765076650346,0.5030181086519203,-8.333333333333325,0.6515765076650346
2018-10-01,0.31023784901758056,0.5005005005005003,9.090909090909083,-1.5079769936798268,0.5005005005005003,9.090909090909083,-1.5079769936798268
2018-11-01,0.0,0.4980079681274896,-8.333333333333325,0.6584784628249036,0.4980079681274896,-8.333333333333325,0.6584784628249036
2018-12-01,0.0,1.090188305252715,-4.545454545454552,-0.4779279072335487,1.090188305252715,-4.545454545454552,-0.4779279072335487
2019-01-01,0.5154639175257714,0.4901960784313708,-14.28571428571429,0.02967328993649638,0.4901960784313708,-14.28571428571429,0.02967328993649638
2019-02-01,0.0,0.4878048780487809,5.555555555555558,-0.5030740799460216,0.4878048780487809,5.555555555555558,-0.5030740799460216
2019-03-01,0.0,0.4854368932038833,-5.263157894736836,0.415925033168279,0.4854368932038833,-5.263157894736836,0.415925033168279
2019-04-01,0.3076923076922977,0.48309178743961567,11.111111111111116,-1.6493458658694458,0.48309178743961567,11.111111111111116,-1.6493458658694458
2019-05-01,0.0,0.38461538461538325,0.0,0.10932278518952285,0.38461538461538325,0.0,0.10932278518952285
2019-06-01,0.0,0.3831417624521105,-5.000000000000004,0.5345718273405493,0.3831417624521105,-5.000000000000004,0.5345718273405493
2019-07-01,0.2044989775051187,0.3816793893129722,5.263157894736836,-0.7857446550455317,0.3816793893129722,5.263157894736836,-0.7857446550455317
2019-08-01,0.0,0.3802281368821214,-15.000000000000002,1.3850235985403736,0.3802281368821214,-15.000000000000002,1.3850235985403736
2019-09-01,0.0,0.37878787878788955,0.0,0.11735074043730655,0.37878787878788955,0.0,0.11735074043730655
2019-10-01,0.10204081632652073,0.37735849056603765,-5.88235294117646,0.39087822958841173,0.37735849056603765,-5.88235294117646,0.39087822958841173
2019-11-01,0.0,0.3759398496240518,-6.25,0.6502979078402779,0.3759398496240518,-6.25,0.6502979078402779
2019-12-01,0.0,0.561797752808979,-6.666666666666677,0.42952884429487737,0.561797752808979,-6.666666666666677,0.42952884429487737
2020-01-01,-0.6116207951070263,-0.3724394785847296,21.42857142857144,0.6951372733678568,-0.3724394785847296,21.42857142857144,0.6951372733678568
2020-02-01,0.0,-1.4018691588784993,0.0,2.5703787481647407,-1.4018691588784993,0.0,2.5703787481647407
2020-03-01,0.0,-4.265402843601896,-11.764705882352944,7.510983882058232,-4.265402843601896,-11.764705882352944,7.510983882058232
2020-04-01,-9.025641025641018,-15.841584158415845,-40.0,45.86886258465944,-15.841584158415845,-40.0,45.86886258465944
2020-05-01,0.0,-23.529411764705888,-22.222222222222232,34.93419099064669,-23.529411764705888,-22.222222222222232,34.93419099064669
2020-06-01,0.0,-26.15384615384615,-14.28571428571428,37.87782808225023,-26.15384615384615,-14.28571428571428,37.87782808225023
2020-07-01,1.916572717023679,-6.25,-16.666666666666664,6.408549811914211,-6.25,-16.666666666666664,6.408549811914211
2020-08-01,0.0,2.2222222222222143,0.0,-2.4221591029502,2.2222222222222143,0.0,-2.4221591029502
2020-09-01,0.0,8.695652173913038,0.0,-11.339937564303918,8.695652173913038,0.0,-11.339937564303918
2020-10-01,1.9911504424778625,6.000000000000005,39.99999999999999,-15.428924596913546,6.000000000000005,39.99999999999999,-15.428924596913546
2020-11-01,0.0,5.660377358490565,-14.28571428571428,-5.949354620005692,5.660377358490565,-14.28571428571428,-5.949354620005692
2020-12-01,0.0,7.14285714285714,33.33333333333335,-12.022271497440679,7.14285714285714,33.33333333333335,-12.022271497440679
2021-01-01,1.3015184381778733,3.3333333333333437,12.5,-7.8978903334717065,3.3333333333333437,12.5,-7.8978903334717065
2021-02-01,0.0,4.8387096774193505,-22.222222222222232,-4.1456514226590935,4.8387096774193505,-22.222222222222232,-4.1456514226590935
2021-03-01,0.0,6.153846153846154,0.0,-7.838352910132893,6.153846153846154,0.0,-7.838352910132893
2021-04-01,1.9271948608136968,7.246376811594213,128.5714285714286,-24.50108583166474,7.246376811594213,128.5714285714286,-24.50108583166474
2021-05-01,0.0,6.756756756756754,31.25,-11.314039473773573,6.756756756756754,31.25,-11.314039473773573
2021-06-01,0.0,3.797468354430378,19.047619047619047,-6.204476436897933,3.797468354430378,19.047619047619047,-6.204476436897933
2021-07-01,1.995798319327724,3.658536585365857,-19.999999999999996,-7.135013417303968,3.658536585365857,-19.999999999999996,-7.135013417303968
2021-08-01,0.0,3.529411764705892,50.0,-8.45512949767454,3.529411764705892,50.0,-8.45512949767454
2021-09-01,0.0,2.2727272727272707,3.3333333333333437,-2.7738807047659213,2.2727272727272707,3.3333333333333437,-2.7738807047659213
2021-10-01,1.4418125643666402,1.1111111111111072,29.032258064516125,-6.5471160723099056,1.1111111111111072,29.032258064516125,-6.5471160723099056
2021-11-01,0.0,1.098901098901095,19.999999999999996,-2.5675510960495207,1.098901098901095,19.999999999999996,-2.5675510960495207
2021-12-01,0.0,2.1739130434782705,0.0,-2.3556085174177337,2.1739130434782705,0.0,-2.3556085174177337
2022-01-01,0.9137055837563413,2.127659574468077,2.083333333333348,-4.495007296807213,2.127659574468077,2.083333333333348,-4.495007296807213
2022-02-01,0.0,2.083333333333326,12.244897959183664,-3.2672808254679553,2.083333333333326,12.244897959183664,-3.2672808254679553
2022-03-01,0.0,2.0408163265306145,12.72727272727272,-3.2495395512233256,2.0408163265306145,12.72727272727272,-3.2495395512233256
2022-04-01,0.9054325955734299,1.0000000000000009,25.806451612903224,-4.931210427403895,1.0000000000000009,25.806451612903224,-4.931210427403895
2022-05-01,0.0,0.990099009900991,1.2820512820512997,-0.8333074018613755,0.990099009900991,1.2820512820512997,-0.8333074018613755
